meter_number,meter_size,branch,current_location,status
NCWSC1501120125,0.5'',roysambu,roysambu store,available
NCWSC1501120125,0.5'',roysambu,roysambu store,available
NCWSC1501120225,0.5'',roysambu,roysambu store,available
NCWSC1501120325,0.5'',roysambu,roysambu store,available
NCWSC1501120525,0.5'',roysambu,roysambu store,available
NCWSC1501120525,0.5'',roysambu,roysambu store,available
NCWSC1501120725,0.5'',roysambu,roysambu store,available
NCWSC1501120825,0.5'',roysambu,roysambu store,available
NCWSC1501120925,0.5'',roysambu,roysambu store,available
NCWSC1501121225,0.5'',roysambu,roysambu store,available
NCWSC1501121325,0.5'',roysambu,roysambu store,available
NCWSC1501121425,0.5'',roysambu,roysambu store,available
NCWSC1501121525,0.5'',roysambu,roysambu store,available
NCWSC1501121625,0.5'',roysambu,roysambu store,available
NCWSC1501121825,0.5'',roysambu,roysambu store,available
NCWSC1501122225,0.5'',roysambu,roysambu store,available
NCWSC1501122325,0.5'',roysambu,roysambu store,available
NCWSC1501122425,0.5'',roysambu,roysambu store,available
NCWSC1501122525,0.5'',roysambu,roysambu store,available
NCWSC1501122625,0.5'',roysambu,roysambu store,available
NCWSC1501122725,0.5'',roysambu,roysambu store,available
NCWSC1501122825,0.5'',roysambu,roysambu store,available
NCWSC1501122925,0.5'',roysambu,roysambu store,available
NCWSC1501123025,0.5'',roysambu,roysambu store,available
NCWSC1501124125,0.5'',roysambu,roysambu store,available
NCWSC1501124225,0.5'',roysambu,roysambu store,available
NCWSC1501124325,0.5'',roysambu,roysambu store,available
NCWSC1501124425,0.5'',roysambu,roysambu store,available
NCWSC1501124725,0.5'',roysambu,roysambu store,available
NCWSC1501124825,0.5'',roysambu,roysambu store,available
NCWSC1501124925,0.5'',roysambu,roysambu store,available
NCWSC1501125025,0.5'',roysambu,roysambu store,available
NCWSC1501127125,0.5'',roysambu,roysambu store,available
NCWSC1501127325,0.5'',roysambu,roysambu store,available
NCWSC1501127425,0.5'',roysambu,roysambu store,available
NCWSC1501127525,0.5'',roysambu,roysambu store,available
NCWSC1501127625,0.5'',roysambu,roysambu store,available
NCWSC1501127825,0.5'',roysambu,roysambu store,available
NCWSC1501131125,0.5'',roysambu,roysambu store,available
NCWSC1501131225,0.5'',roysambu,roysambu store,available
NCWSC1501134125,0.5'',roysambu,roysambu store,available
NCWSC1501134525,0.5'',roysambu,roysambu store,available
NCWSC1501134625,0.5'',roysambu,roysambu store,available
NCWSC1501134725,0.5'',roysambu,roysambu store,available
NCWSC1501134825,0.5'',roysambu,roysambu store,available
NCWSC1501134925,0.5'',roysambu,roysambu store,available
NCWSC1501135125,0.5'',roysambu,roysambu store,available
NCWSC1501135225,0.5'',roysambu,roysambu store,available
NCWSC1501135425,0.5'',roysambu,roysambu store,available
NCWSC1501135525,0.5'',roysambu,roysambu store,available
NCWSC1501135625,0.5'',roysambu,roysambu store,available
NCWSC1501135825,0.5'',roysambu,roysambu store,available
NCWSC1501137125,0.5'',roysambu,roysambu store,available
NCWSC1501137225,0.5'',roysambu,roysambu store,available
NCWSC1501137425,0.5'',roysambu,roysambu store,available
NCWSC1501137625,0.5'',roysambu,roysambu store,available
NCWSC1501137725,0.5'',roysambu,roysambu store,available
NCWSC1501138025,0.5'',roysambu,roysambu store,available
NCWSC1501138125,0.5'',roysambu,roysambu store,available
NCWSC1501138225,0.5'',roysambu,roysambu store,available
NCWSC1501138325,0.5'',roysambu,roysambu store,available
NCWSC1501138425,0.5'',roysambu,roysambu store,available
NCWSC1501138525,0.5'',roysambu,roysambu store,available
NCWSC1501138625,0.5'',roysambu,roysambu store,available
NCWSC1501138725,0.5'',roysambu,roysambu store,available
NCWSC1501138925,0.5'',roysambu,roysambu store,available
NCWSC1501139025,0.5'',roysambu,roysambu store,available
NCWSC1501140225,0.5'',roysambu,roysambu store,available
NCWSC1501140425,0.5'',roysambu,roysambu store,available
NCWSC1501140525,0.5'',roysambu,roysambu store,available
NCWSC1501140825,0.5'',roysambu,roysambu store,available
NCWSC1501141025,0.5'',roysambu,roysambu store,available
NCWSC1501146225,0.5'',roysambu,roysambu store,available
NCWSC1501146325,0.5'',roysambu,roysambu store,available
NCWSC1501146425,0.5'',roysambu,roysambu store,available
NCWSC1501146925,0.5'',roysambu,roysambu store,available
NCWSC1501147025,0.5'',roysambu,roysambu store,available
NCWSC1501147125,0.5'',roysambu,roysambu store,available
NCWSC1501147225,0.5'',roysambu,roysambu store,available
NCWSC1501147425,0.5'',roysambu,roysambu store,available
NCWSC1501147525,0.5'',roysambu,roysambu store,available
NCWSC1501147625,0.5'',roysambu,roysambu store,available
NCWSC1501147725,0.5'',roysambu,roysambu store,available
NCWSC1501147825,0.5'',roysambu,roysambu store,available
NCWSC1501147925,0.5'',roysambu,roysambu store,available
NCWSC1501148025,0.5'',roysambu,roysambu store,available
NCWSC1501363825,0.5'',roysambu,roysambu store,available
NCWSC1505426516,0.5'',roysambu,roysambu store,available
NCWSC1507656916,0.5'',roysambu,roysambu store,available
NCWSC1501122125s,0.5'',roysambu,roysambu store,available
NCWSC1501123125S,0.5'',roysambu,roysambu store,available
NCWSC1501123225S,0.5'',roysambu,roysambu store,available
